ROME;Intitule_ROME;Qualif;FAP341;Intitule_FAP341
A1101;Conduite d'engins agricoles et forestiers;0;A0X43;Conducteurs d'engins agricoles ou forestiers
A1101;Conduite d'engins agricoles et forestiers;1;A0X43;Conducteurs d'engins agricoles ou forestiers
A1101;Conduite d'engins agricoles et forestiers;2;A0X43;Conducteurs d'engins agricoles ou forestiers
A1101;Conduite d'engins agricoles et forestiers;3;A0X43;Conducteurs d'engins agricoles ou forestiers
A1101;Conduite d'engins agricoles et forestiers;4;A0X43;Conducteurs d'engins agricoles ou forestiers
A1101;Conduite d'engins agricoles et forestiers;5;A0X43;Conducteurs d'engins agricoles ou forestiers
A1101;Conduite d'engins agricoles et forestiers;6;A0X43;Conducteurs d'engins agricoles ou forestiers
A1101;Conduite d'engins agricoles et forestiers;7;A0X43;Conducteurs d'engins agricoles ou forestiers
A1101;Conduite d'engins agricoles et forestiers;8;A0X43;Conducteurs d'engins agricoles ou forestiers
A1101;Conduite d'engins agricoles et forestiers;9;A0X43;Conducteurs d'engins agricoles ou forestiers
A1201;Bûcheronnage et élagage;0;A0X42a;Bûcherons et élagueurs
A1201;Bûcheronnage et élagage;1;A0X42a;Bûcherons et élagueurs
A1201;Bûcheronnage et élagage;2;A0X42a;Bûcherons et élagueurs
A1201;Bûcheronnage et élagage;3;A0X42a;Bûcherons et élagueurs
A1201;Bûcheronnage et élagage;4;A0X42a;Bûcherons et élagueurs
A1201;Bûcheronnage et élagage;5;A0X42a;Bûcherons et élagueurs
A1201;Bûcheronnage et élagage;6;A0X42a;Bûcherons et élagueurs
A1201;Bûcheronnage et élagage;7;A0X42a;Bûcherons et élagueurs
A1201;Bûcheronnage et élagage;8;A0X42a;Bûcherons et élagueurs
A1201;Bûcheronnage et élagage;9;A0X42a;Bûcherons et élagueurs
A1202;Entretien des espaces naturels;0;A1X41;Jardiniers des espaces verts et naturels
A1202;Entretien des espaces naturels;1;A1X41;Jardiniers des espaces verts et naturels
A1202;Entretien des espaces naturels;2;A1X41;Jardiniers des espaces verts et naturels
A1202;Entretien des espaces naturels;3;A1X41;Jardiniers des espaces verts et naturels
A1202;Entretien des espaces naturels;4;A1X41;Jardiniers des espaces verts et naturels
A1202;Entretien des espaces naturels;5;A1X41;Jardiniers des espaces verts et naturels
A1202;Entretien des espaces naturels;6;A1X41;Jardiniers des espaces verts et naturels
A1202;Entretien des espaces naturels;7;A1X41;Jardiniers des espaces verts et naturels
A1202;Entretien des espaces naturels;8;A1X41;Jardiniers des espaces verts et naturels
A1202;Entretien des espaces naturels;9;A1X41;Jardiniers des espaces verts et naturels
A1203;Aménagement et entretien des espaces verts;0;A1X41;Jardiniers des espaces verts et naturels
A1203;Aménagement et entretien des espaces verts;1;A1X41;Jardiniers des espaces verts et naturels
A1203;Aménagement et entretien des espaces verts;2;A1X41;Jardiniers des espaces verts et naturels
A1203;Aménagement et entretien des espaces verts;3;A1X41;Jardiniers des espaces verts et naturels
A1203;Aménagement et entretien des espaces verts;4;A1X41;Jardiniers des espaces verts et naturels
A1203;Aménagement et entretien des espaces verts;5;A1X41;Jardiniers des espaces verts et naturels
A1203;Aménagement et entretien des espaces verts;6;A1X41;Jardiniers des espaces verts et naturels
A1203;Aménagement et entretien des espaces verts;7;A1X41;Jardiniers des espaces verts et naturels
A1203;Aménagement et entretien des espaces verts;8;A1X41;Jardiniers des espaces verts et naturels
A1203;Aménagement et entretien des espaces verts;9;A1X41;Jardiniers des espaces verts et naturels
A1204;Protection du patrimoine naturel;1;A0X42b;Sylviculteurs, agents forestiers et agents de protection des espaces naturels
