"Code Fap";"Libellé de la famille professionnelle";"Année";"Salaire médian (en €)"
"A";"Agriculture, marine, pêche";"2003-2005";"1117"
"A";"Agriculture, marine, pêche";"2017-2019";"1482"
"A0Z";"Agriculteurs, éleveurs, sylviculteurs, bûcherons";"2003-2005";"1083"
"A0Z";"Agriculteurs, éleveurs, sylviculteurs, bûcherons";"2017-2019";"1430"
"A0Z40";"Agriculteurs salariés";"2003-2005";"1012"
"A0Z40";"Agriculteurs salariés";"2017-2019";"1400"
"A0Z41";"Éleveurs salariés";"2003-2005";"1092"
"A0Z41";"Éleveurs salariés";"2017-2019";"1394"
"A0Z42";"Bûcherons, sylviculteurs salariés et agents forestiers";"2017-2019";"1638"
"A0Z42";"Bûcherons, sylviculteurs salariés et agents forestiers";"2003-2005";"1241"
"A0Z43";"Conducteurs d'engins agricoles ou forestiers";"2017-2019";"1625"
"A0Z43";"Conducteurs d'engins agricoles ou forestiers";"2003-2005";"1173"
"A1Z";"Maraîchers, jardiniers, viticulteurs";"2017-2019";"1366"
"A1Z";"Maraîchers, jardiniers, viticulteurs";"2003-2005";"1092"
"A1Z40";"Maraîchers, horticulteurs salariés";"2003-2005";"1000"
"A1Z40";"Maraîchers, horticulteurs salariés";"2017-2019";"1295"
"A1Z41";"Jardiniers salariés";"2003-2005";"1152"
"A1Z41";"Jardiniers salariés";"2017-2019";"1452"
"A1Z42";"Viticulteurs, arboriculteurs salariés";"2017-2019";"1300"
"A1Z42";"Viticulteurs, arboriculteurs salariés";"2003-2005";"1067"
"A2Z";"Techniciens et cadres de l'agriculture";"2003-2005";"1626"
"A2Z";"Techniciens et cadres de l'agriculture";"2017-2019";"2100"
"A2Z70";"Techniciens et agents d'encadrement d'exploitations agricoles";"2017-2019";"1958"
"A2Z70";"Techniciens et agents d'encadrement d'exploitations agricoles";"2003-2005";"1500"
"A2Z90";"Ingénieurs, cadres techniques de l'agriculture";"2003-2005";"2083"
"A2Z90";"Ingénieurs, cadres techniques de l'agriculture";"2017-2019";"2500"
"A3Z";"Marins, pêcheurs, aquaculteurs";"2003-2005";"1700"
"A3Z";"Marins, pêcheurs, aquaculteurs";"2017-2019";"2085"
"A3Z40";"Pêcheurs, aquaculteurs salariés";"2003-2005";"1335"
"A3Z40";"Pêcheurs, aquaculteurs salariés";"2017-2019";"1500"
"B";"Bâtiment, travaux publics";"2017-2019";"1800"
"B";"Bâtiment, travaux publics";"2003-2005";"1350"
"B0Z";"Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction";"2003-2005";"1169"
"B0Z";"Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction";"2017-2019";"1560"
"B0Z20";"Ouvriers non qualifiés des travaux publics, du béton et de l'extraction";"2017-2019";"1600"
"B0Z20";"Ouvriers non qualifiés des travaux publics, du béton et de l'extraction";"2003-2005";"1200"
"B0Z21";"Ouvriers non qualifiés du gros œuvre du bâtiment";"2017-2019";"1500"
"B0Z21";"Ouvriers non qualifiés du gros œuvre du bâtiment";"2003-2005";"1129"
"B1Z";"Ouvriers qualifiés des travaux publics, du béton et de l'extraction";"2003-2005";"1408"
"B1Z";"Ouvriers qualifiés des travaux publics, du béton et de l'extraction";"2017-2019";"1841"
"B1Z40";"Ouvriers qualifiés des travaux publics, du béton et de l'extraction";"2017-2019";"1841"
"B1Z40";"Ouvriers qualifiés des travaux publics, du béton et de l'extraction";"2003-2005";"1408"
"B2Z";"Ouvriers qualifiés du gros œuvre du bâtiment";"2017-2019";"1700"
"B2Z";"Ouvriers qualifiés du gros œuvre du bâtiment";"2003-2005";"1268"
"B2Z40";"Maçons";"2003-2005";"1270"
"B2Z40";"Maçons";"2017-2019";"1675"
"B2Z42";"Charpentiers (métal)";"2003-2005";"1356"
"B2Z42";"Charpentiers (métal)";"2017-2019";"1850"
"B2Z43";"Charpentiers (bois)";"2017-2019";"1740"
"B2Z43";"Charpentiers (bois)";"2003-2005";"1250"
"B2Z44";"Couvreurs";"2017-2019";"1700"
"B2Z44";"Couvreurs";"2003-2005";"1220"
"B3Z";"Ouvriers non qualifiés du second œuvre du bâtiment";"2003-2005";"1136"
"B3Z";"Ouvriers non qualifiés du second œuvre du bâtiment";"2017-2019";"1500"
"B3Z20";"Ouvriers non qualifiés du second œuvre du bâtiment";"2003-2005";"1136"
"B3Z20";"Ouvriers non qualifiés du second œuvre du bâtiment";"2017-2019";"1500"
"B4Z";"Ouvriers qualifiés du second œuvre du bâtiment";"2017-2019";"1700"
"B4Z";"Ouvriers qualifiés du second œuvre du bâtiment";"2003-2005";"1300"
"B4Z41";"Plombiers, chauffagistes";"2003-2005";"1344"
"B4Z41";"Plombiers, chauffagistes";"2017-2019";"1800"
"B4Z42";"Menuisiers et ouvriers de l'agencement et de l'isolation";"2017-2019";"1700"
"B4Z42";"Menuisiers et ouvriers de l'agencement et de l'isolation";"2003-2005";"1300"
"B4Z43";"Électriciens du bâtiment";"2017-2019";"1716"
"B4Z43";"Électriciens du bâtiment";"2003-2005";"1335"
"B4Z44";"Ouvriers qualifiés de la peinture et de la finition du bâtiment";"2003-2005";"1250"
"B4Z44";"Ouvriers qualifiés de la peinture et de la finition du bâtiment";"2017-2019";"1617"
"B5Z";"Conducteurs d'engins du bâtiment et des travaux publics";"2017-2019";"1800"
"B5Z";"Conducteurs d'engins du bâtiment et des travaux publics";"2003-2005";"1372"
"B5Z40";"Conducteurs d'engins du bâtiment et des travaux publics";"2003-2005";"1372"
"B5Z40";"Conducteurs d'engins du bâtiment et des travaux publics";"2017-2019";"1800"
"B6Z";"Techniciens et agents de maîtrise du bâtiment et des travaux publics";"2003-2005";"1678"
"B6Z";"Techniciens et agents de maîtrise du bâtiment et des travaux publics";"2017-2019";"2058"
"B6Z70";"Géomètres";"2017-2019";"1891"
"B6Z70";"Géomètres";"2003-2005";"1500"
"B6Z71";"Techniciens et chargés d'études du bâtiment et des travaux publics";"2017-2019";"1980"
"B6Z71";"Techniciens et chargés d'études du bâtiment et des travaux publics";"2003-2005";"1625"
"B6Z72";"Dessinateurs en bâtiment et en travaux publics";"2017-2019";"1861"
"B6Z72";"Dessinateurs en bâtiment et en travaux publics";"2003-2005";"1536"
"B6Z73";"Chefs de chantier, conducteurs de travaux (non cadres)";"2003-2005";"1802"
"B6Z73";"Chefs de chantier, conducteurs de travaux (non cadres)";"2017-2019";"2250"
"B7Z";"Cadres du bâtiment et des travaux publics";"2017-2019";"2808"
"B7Z";"Cadres du bâtiment et des travaux publics";"2003-2005";"2547"
"B7Z91";"Ingénieurs du bâtiment et des travaux publics, chefs de chantier et conducteurs de travaux (cadres)";"2003-2005";"2572"
"B7Z91";"Ingénieurs du bâtiment et des travaux publics, chefs de chantier et conducteurs de travaux (cadres)";"2017-2019";"2866"
"C";"Électricité, électronique";"2003-2005";"1420"
"C";"Électricité, électronique";"2017-2019";"1841"
"C0Z";"Ouvriers non qualifiés de l'électricité et de l'électronique";"2017-2019";"1500"
"C0Z";"Ouvriers non qualifiés de l'électricité et de l'électronique";"2003-2005";"1156"
"C0Z20";"Ouvriers non qualifiés de l'électricité et de l'électronique";"2017-2019";"1500"
"C0Z20";"Ouvriers non qualifiés de l'électricité et de l'électronique";"2003-2005";"1156"
"C1Z";"Ouvriers qualifiés de l'électricité et de l'électronique";"2017-2019";"1683"
"C1Z";"Ouvriers qualifiés de l'électricité et de l'électronique";"2003-2005";"1280"
"C1Z40";"Ouvriers qualifiés de l'électricité et de l'électronique";"2017-2019";"1683"
"C1Z40";"Ouvriers qualifiés de l'électricité et de l'électronique";"2003-2005";"1280"
"C2Z";"Techniciens et agents de maîtrise de l'électricité et de l'électronique";"2003-2005";"1585"
"C2Z";"Techniciens et agents de maîtrise de l'électricité et de l'électronique";"2017-2019";"2000"
"C2Z70";"Techniciens en électricité et en électronique";"2003-2005";"1533"
"C2Z70";"Techniciens en électricité et en électronique";"2017-2019";"1968"
"C2Z71";"Dessinateurs en électricité et en électronique";"2003-2005";"1701"
"C2Z71";"Dessinateurs en électricité et en électronique";"2017-2019";"2000"
"C2Z80";"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique";"2017-2019";"2580"
"C2Z80";"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique";"2003-2005";"1788"
"D";"Mécanique, travail des métaux";"2003-2005";"1400"
